Latitude,Length,Polygon,Plot,Variety,Year,Phenological stage,Date
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,A,15/02/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,B,22/03/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,C,29/03/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,D,07/04/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,E,08/04/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,F,11/04/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,G,29/04/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,H,02/05/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,I,01/06/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,J,07/06/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,K,30/06/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,L,14/07/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,M,06/08/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,N,18/09/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,O,12/11/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,A,17/02/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,B,21/03/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,C,30/03/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,D,04/04/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,E,11/04/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,F,10/04/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,G,29/04/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,H,05/05/2018
